location,day_shift,week_day,local_bright,local_noise,battery_level,battery_charging,power_saving,playback,headset,bluetooth,network,screen,orientation,app,volume,bright,ring_mode
P3,9,1,4,0,4,0,0,0,0,0,2,1,1,8,0,38,0
P3,9,1,4,0,4,0,0,0,0,0,2,1,1,12,0,38,0
P3,9,1,4,0,4,0,0,1,0,0,2,1,1,12,8,38,0
P3,9,1,4,1,4,0,0,1,0,0,2,1,1,12,9,38,0
P3,9,1,4,2,4,0,0,0,0,0,2,1,1,12,9,38,0
P3,9,1,3,2,4,0,0,1,0,0,2,1,1,12,6,38,0
P3,9,1,2,0,4,0,0,0,0,0,2,1,1,12,0,38,0
P3,9,1,4,1,4,0,0,0,0,0,2,1,1,12,0,38,0
P3,9,1,4,2,4,0,0,0,0,0,2,1,1,12,0,38,0
P3,9,1,4,3,4,0,0,0,0,0,2,1,1,12,0,38,0
P3,9,1,5,0,4,0,0,0,0,0,2,1,1,12,0,38,0
P3,9,1,4,0,4,0,0,0,0,0,2,0,1,12,0,38,0
P3,9,1,0,2,4,0,0,0,0,0,2,0,1,12,0,38,0
P3,9,1,0,0,4,0,0,0,0,0,2,0,1,12,0,38,0
P3,9,1,0,0,4,0,0,0,0,0,2,1,1,12,0,38,0
P3,9,1,2,0,4,0,0,0,0,0,2,1,1,12,0,38,0
P3,9,1,2,0,4,0,0,0,0,0,2,1,1,2,0,38,0
P3,9,1,3,0,4,0,0,0,0,0,2,0,1,15,0,38,0
P3,9,1,0,7,4,0,0,0,0,0,2,0,1,15,0,38,0
P3,9,1,0,1,4,0,0,0,0,0,2,0,1,15,0,38,0
P3,9,1,0,0,4,0,0,0,0,0,2,0,1,15,0,38,0
P3,9,1,0,2,4,0,0,0,0,0,2,0,1,15,0,38,0
P3,9,1,0,2,4,0,0,0,0,0,2,0,1,15,0,38,0
P3,9,1,0,0,4,0,0,0,0,0,2,0,1,15,0,38,0
P3,9,1,0,0,4,0,0,0,0,0,2,0,1,15,0,38,0
P3,9,1,0,10,4,0,0,0,0,0,2,0,1,15,0,38,0
P3,9,1,0,4,4,0,0,0,0,0,2,0,1,15,0,38,0
P3,9,1,0,0,4,0,0,0,0,0,2,1,1,8,0,38,0
P3,9,1,3,0,4,0,0,0,0,0,2,1,1,12,0,38,0
P3,9,1,4,0,4,0,0,0,0,0,2,1,1,12,0,38,0
P3,9,1,4,1,4,0,0,0,0,0,2,1,1,12,0,38,0
P3,9,1,4,0,4,0,0,0,0,0,2,1,1,12,0,38,0
P3,9,1,3,0,4,0,0,0,0,0,2,1,1,12,0,38,0
P3,9,1,3,0,4,0,0,0,0,0,2,1,1,12,0,38,0
P3,9,1,3,0,4,0,0,0,0,0,2,1,1,12,0,38,0
P3,9,1,4,0,4,0,0,0,0,0,2,1,1,12,0,38,0
P3,9,1,4,0,4,0,0,0,0,0,2,1,1,12,0,38,0
P3,9,1,3,0,4,0,0,0,0,0,2,1,1,12,0,38,0
P3,9,1,3,0,4,0,0,0,0,0,2,1,1,12,0,38,0
P3,9,1,3,1,4,0,0,0,0,0,2,1,1,12,0,38,0
P3,9,1,3,0,4,0,0,0,0,0,2,1,1,12,0,38,0
